Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Acanthopleuribacter,0.000214035,0.000224399,0.000128158,0.000119383,0.000162708,0.000132348
g__Acidiferrimicrobium,0.001905363,0.001489935,0.00048998,0.000570346,0.001296223,0.000526192
g__Acidiluteibacter,0.006511634,0.013788935,8.68E-05,0.000156244,0.012310709,0.002105187
g__Acidimicrobium,0.000165156,0.000125992,5.37E-05,6.14E-05,9.41E-05,6.62E-05
g__Aciditerrimonas,0.000646895,0.000514008,0.000166837,0.000188492,0.000459903,0.000171778
g__Acidithiobacillus,0.00015455,0.00011548,6.77E-05,8.59E-05,9.51E-05,7.39E-05
g__Acinetobacter,0.000180294,0.000205508,0.000456605,0.000567228,0.000194096,0.000472133
g__Actibacterium,0.001003421,0.00077279,0.000492328,0.000380359,0.000594512,0.000364281
g__Actinomadura,0.000590917,0.000433781,0.000160738,0.000179437,0.000378082,0.000196046
g__Actinomarinicola,0.002557305,0.001997225,0.000660984,0.0007617,0.001729367,0.000754087
g__Actinomyces,0.001343483,0.001027304,0.000432322,0.00047296,0.000861536,0.000470609
g__Actinoplanes,0.000312564,0.000234517,9.01E-05,0.000100546,0.000208836,0.000120348
g__Adhaeribacter,0.000221947,0.000329169,5.97E-05,9.52E-05,0.000310879,0.000140158
g__Aequorivita,0.162638641,0.209397626,0.119685399,0.063154002,0.200668187,0.15126391
g__Aeromonas,9.37E-05,8.58E-05,0.000402204,0.000458694,9.50E-05,0.000357424
g__Aestuariibacter,0.000831894,0.000591508,0.000651096,0.00062284,0.000448858,0.000459447
g__Aestuariivita,0.000321032,0.000261351,0.000304239,0.000244446,0.00023791,0.000201989
g__Aestuariivivens,0.000193765,0.000201714,4.69E-05,4.48E-05,0.00018764,6.98E-05
g__Aggregatilinea,0.00463086,0.003671959,0.002613818,0.003211969,0.003726164,0.002942287
g__Ahniella,7.68E-05,6.53E-05,0.0001768,0.000260207,9.53E-05,0.000100118
g__Ahrensia,0.00016832,0.000115954,9.08E-05,7.51E-05,0.000102043,7.84E-05
g__Albibacillus,0.000150744,0.000129944,0.000144562,0.000110883,0.00011861,0.000101375
g__Alcanivorax,0.000536093,0.000982211,0.00058518,0.001668068,0.002010888,0.004017643
g__Algibacter,0.000622135,0.000733348,0.000243399,0.000171193,0.000715477,0.000322641
g__Algicola,0.000196759,0.000196063,9.30E-05,8.61E-05,0.000226013,0.000105985
g__Algisphaera,0.000597631,0.000227324,8.51E-05,0.000128737,0.001027412,0.000115395
g__Algoriphagus,0.000472588,0.000709399,0.0002176,0.000256662,0.000616276,0.000443522
g__Aliidiomarina,0.002946888,0.008613406,0.266528333,0.324798793,0.005375903,0.239804562
g__Aliikangiella,0.000111315,9.70E-05,0.000223851,0.000375361,0.000110245,0.000104042
g__Aliiroseovarius,0.002278995,0.001726388,0.002157289,0.001306716,0.001501121,0.001156274
g__Alkalilimnicola,0.00025047,0.000188119,0.000180778,0.000230137,0.000181996,0.000160311
g__Alloalcanivorax,6.89E-05,0.000107931,7.54E-05,0.000145096,0.000136355,0.000178369
g__Allomuricauda,0.001845835,0.00177081,0.000580937,0.000557361,0.001637638,0.00078445
g__Alterinioella,0.001427814,0.000977508,0.0003511,9.03E-05,0.000963579,0.000542421
g__Alteromonas,0.000668534,0.000582181,0.000572602,0.000636294,0.000475252,0.000533011
g__Altibacter,0.012152757,0.010304779,0.002161494,0.001380396,0.010846458,0.001488515
g__Amphiplicatus,0.000379448,0.000255384,0.000203735,0.000202886,0.000102327,0.000176655
g__Amycolatopsis,0.000416225,0.000309685,0.000108838,0.00012942,0.000269096,0.000139167
g__Amylibacter,0.000726865,0.00046603,0.000325188,0.00019601,0.000415886,0.000205227
g__Anaerolinea,0.023811544,0.014817425,0.009836716,0.009423795,0.010931446,0.008509934
g__Anaeromyxobacter,0.000412846,0.000353277,0.000133424,0.000131684,0.000531369,0.000454608
g__Anatilimnocola,0.000235931,0.00022602,9.55E-05,8.23E-05,0.00013469,8.33E-05
g__Ancylomarina,0.000146211,0.000261588,2.89E-05,6.97E-05,0.000224185,0.0001253
g__Antarcticimicrobium,0.001165883,0.000947472,0.001092017,0.00091474,0.000932353,0.00074601
g__Aquamicrobium,0.000157843,0.000110658,0.000199795,0.000148086,0.00012263,0.000112309
g__Aquibium,0.000539643,0.000489703,0.000566882,0.001190708,0.001137901,0.001203095
g__Aquicoccus,0.003242474,0.002503763,0.005764022,0.003275184,0.002505306,0.002215439
g__Aquihabitans,0.001140182,0.000859222,0.000277077,0.000323251,0.000776914,0.000332242
g__Aquimarina,0.001304268,0.001679003,0.000549229,0.000464759,0.001432497,0.000755763
g__Aquisalimonas,0.000112299,9.22E-05,9.31E-05,0.000116649,0.000111626,0.000104423
g__Archangium,0.000498674,0.000396236,0.000196575,0.000198145,0.000481911,0.000398416
g__Ardenticatena,0.000571759,0.000383273,0.000239951,0.000236288,0.000312422,0.000236809
g__Arenibacter,0.001115421,0.001470926,0.000672993,0.000638302,0.001479681,0.00084849
g__Arenibacterium,0.000200565,0.000153538,0.0001904,0.000157055,0.000151135,0.000121681
g__Arenimonas,0.000213437,0.000166896,0.00010361,0.000118187,0.000144517,0.0001173
g__Aromatoleum,0.00019693,0.000134292,0.000102853,0.000133093,0.000126772,9.30E-05
g__Arsenophonus,6.59E-05,6.86E-05,0.000166875,0.000182085,9.88E-05,0.000130977
g__Arsukibacterium,3.80E-05,3.77E-05,0.000438459,0.000518706,3.18E-05,0.000401387
g__Arthrobacter,0.000204242,0.000131841,5.47E-05,5.70E-05,0.00011528,7.18E-05
g__Aurantimonas,0.000140181,0.000117061,0.000182937,0.000162096,0.000139644,0.00014111
g__Aureibaculum,0.000788702,0.000742359,0.000436186,0.00021412,0.000815205,0.000401921
g__Aureisphaera,0.001899675,0.001465709,0.000348524,0.000261958,0.001072322,0.000186026
g__Aureispira,0.000363539,0.00059882,2.87E-05,6.39E-05,0.000373128,0.000202332
g__Aureitalea,0.002785581,0.002175187,0.000492404,0.000393514,0.001474077,0.000256734
g__Aureliella,0.00134344,0.000968972,0.000554002,0.000590122,0.000556098,0.000413121
g__Azospirillum,0.000274846,0.000237085,0.00020813,0.000229112,0.000223048,0.000161378
g__Bacillus,0.000420801,0.000407736,0.000231503,0.000245001,0.000376458,0.000260201
g__Bacteriovorax,9.81E-05,0.000127692,8.79E-06,7.52E-06,0.000167256,0.001312242
g__Bacteroides,0.000462239,0.000709675,0.000325794,0.00040731,0.000574777,0.000551984
g__Balneola,0.000243457,0.000358296,0.000169375,0.000371901,0.000330938,0.000311936
g__Bauldia,0.000253977,0.000177804,0.000178657,0.000194728,0.000188818,0.000140767
g__Bdellovibrio,0.000753763,0.000421727,0.000126719,0.000139458,0.000499656,0.002784147
g__Beggiatoa,0.00014882,0.000118325,0.000136531,0.000157397,0.00011122,0.0001149
g__Bellilinea,0.000242516,0.000146464,0.000102701,0.000103664,0.000115686,9.54E-05
g__Bizionia,0.003532972,0.003495736,0.000829942,0.000308943,0.004155085,0.000900607
g__Blastochloris,0.0002367,0.000164644,0.000103421,0.000104689,0.000169246,0.000117567
g__Blastococcus,0.000305807,0.000228233,8.85E-05,0.000105159,0.000206522,0.000123891
g__Blastopirellula,0.000669261,0.000629764,0.000265788,0.000229198,0.000357495,0.000243019
g__Bosea,0.000210742,0.000179346,0.000199606,0.000212881,0.000175783,0.000150292
g__Boseongicola,0.000358921,0.000299845,0.000231844,0.000165982,0.00023121,0.000170483
g__Bradymonas,0.000216986,0.000185195,2.41E-05,1.52E-05,0.000453203,0.000436093
g__Bradyrhizobium,0.000419176,0.000319368,0.000295639,0.000290106,0.000314209,0.000246219
g__Bremerella,0.000119569,0.000103347,4.96E-05,4.42E-05,7.52E-05,4.83E-05
g__Brevefilum,0.00026005,0.000163616,0.000120127,0.000124124,0.000124092,9.51E-05
g__Brevibacillus,0.00010272,8.26E-05,0.000194605,0.000225097,8.87E-05,0.000191627
g__Brevundimonas,0.000118714,9.65E-05,0.000103875,0.000136767,0.000107565,9.42E-05
g__Brucella,0.001169475,0.001236686,0.000919157,0.000864082,0.001122308,0.00093958
g__Brumimicrobium,0.000467114,0.00101616,7.24E-05,0.000294933,0.000875383,0.000683684
g__Bryobacter,0.000117987,7.54E-05,0.00010308,0.000153382,6.75E-05,9.50E-05
g__Burkholderia,0.000247263,0.000209658,0.000457438,0.000495256,0.000275308,0.000424931
g__Bythopirellula,0.000196416,0.000144923,7.10E-05,6.43E-05,0.000112316,6.19E-05
g__Caldilinea,0.003341987,0.00209496,0.001371177,0.001326065,0.001642714,0.001239477
g__Caldithrix,0.001392876,0.001372677,0.00094594,0.001102506,0.001244816,0.000781745
g__Calothrix,0.000140267,0.000103861,8.97E-05,7.88E-05,9.49E-05,0.000120957
g__Candidatus_Accumulibacter,0.000261931,0.000219143,0.000179717,0.000210361,0.000249036,0.00021357
g__Candidatus_Acidoferrum,0.000109562,8.85E-05,8.75E-05,0.00010281,8.62E-05,7.04E-05
g__Candidatus_Actinomarina,0.000808373,0.000653595,0.000282835,0.000346188,0.000509117,0.000359443
g__Candidatus_Anammoximicrobium,0.000432903,0.000409989,0.000173845,0.000161797,0.000258538,0.000162711
g__Candidatus_Brocadia,0.000524461,0.000647193,0.000949728,0.000818978,0.000606287,0.000398911
g__Candidatus_Chloroploca,0.000308929,0.000202347,0.000132401,0.000134503,0.000159541,0.000122252
g__Candidatus_Competibacter,0.000113154,9.09E-05,0.00013869,0.000180462,0.000114793,0.00010549
g__Candidatus_Contendobacter,0.000174649,0.00013856,0.000133841,0.000177985,0.000124376,0.000114824
g__Candidatus_Denitrolinea,0.000150188,9.55E-05,6.72E-05,6.62E-05,6.76E-05,5.75E-05
g__Candidatus_Electrothrix,0.000160323,0.000128917,0.000113005,0.000120621,0.000141309,0.000104461
g__Candidatus_Entotheonella,0.000343483,0.000255858,0.000172406,0.000191525,0.000251026,0.000183398
g__Candidatus_Jettenia,0.000154165,0.00019219,0.000226692,0.000212924,0.000215049,0.000152463
g__Candidatus_Kentron,0.000251283,0.000192427,0.000168883,0.000224072,0.000182118,0.00015532
g__Candidatus_Kuenenia,0.000330568,0.000497212,0.000775769,0.000618611,0.000447965,0.000281802
g__Candidatus_Magnetomorum,0.000108023,0.000112239,0.000146873,0.000145566,0.000128761,0.000115395
g__Candidatus_Manganitrophus,0.000168363,0.0001386,9.82E-05,0.000116222,0.000130345,9.29E-05
g__Candidatus_Methanoperedens,0.000151899,0.000119827,9.76E-05,0.000106825,0.00011861,8.36E-05
g__Candidatus_Methylomirabilis,0.000207749,0.00016994,0.000110315,0.000121646,0.000166078,0.000127053
g__Candidatus_Microthrix,0.002608237,0.001664183,0.000516725,0.000606822,0.001591834,0.000837709
g__Candidatus_Promineifilum,0.009809701,0.005952785,0.004029167,0.003818407,0.004427226,0.003379523
g__Candidatus_Reidiella,3.73E-05,2.44E-05,0.000113876,0.00015099,3.22E-05,5.28E-05
g__Candidatus_Roseilinea,0.00035473,0.000237797,0.000138652,0.000141935,0.000194015,0.000130253
g__Candidatus_Scalindua,0.016045976,0.024506549,0.047375952,0.037716748,0.024040793,0.015342125
g__Candidatus_Solibacter,0.000447999,0.00029858,0.000413456,0.000584355,0.000287937,0.000380015
g__Candidatus_Sulfopaludibacter,0.000128678,9.30E-05,0.000122968,0.000178882,8.95E-05,0.000119433
g__Candidatus_Tenderia,0.000357424,0.000276606,0.000311475,0.000406627,0.000259269,0.000247895
g__Candidatus_Thiodiazotropha,0.000751454,0.000615142,0.001053263,0.001265242,0.000697001,0.00089234
g__Candidatus_Thioglobus,0.0001513,0.000123937,0.000118536,0.000143857,0.000136883,0.000133529
g__Candidatus_Vecturithrix,0.000111957,8.71E-05,6.61E-05,7.81E-05,0.000103017,7.00E-05
g__Carboxylicivirga,0.000114138,0.000214005,2.17E-05,3.85E-05,0.00017554,0.000106671
g__Carideicomes,0.000856056,0.000743782,0.00077164,0.000656156,0.000676414,0.000578537
g__Catalinimonas,0.000211983,0.000288502,8.77E-05,0.000124295,0.000252407,0.000177264
g__Celeribacter,0.000213522,0.00017729,0.000220404,0.000185502,0.000156089,0.000118938
g__Cellulomonas,0.000372391,0.000276409,0.00010433,0.000119724,0.000249848,0.000144501
g__Cellulophaga,0.000208134,0.000260719,8.11E-05,7.43E-05,0.0002265,0.000117795
g__Cephaloticoccus,0.000343141,0.000667665,1.72E-05,1.64E-05,0.001172294,0.000495981
g__Cereibacter,0.000142876,0.000120183,0.000140281,8.42E-05,9.68E-05,6.66E-05
g__Chitinophaga,0.000290541,0.000396196,0.000128499,0.00014689,0.000354531,0.00023098
g__Chloracidobacterium,0.00039001,0.000329604,0.000309391,0.000355243,0.000390426,0.000311326
g__Chlorobium,0.000633553,0.00052377,0.000321968,0.000438235,0.000458969,0.000281725
g__Chloroflexus,0.000278695,0.000181559,0.000122817,0.000127626,0.00016417,0.000124005
g__Chondromyces,0.000204755,0.000230999,0.000324582,0.000123739,0.000144395,0.000117947
g__Christiangramia,0.000257484,0.000310318,7.34E-05,6.75E-05,0.00028818,0.000121795
g__Chryseobacterium,0.000453857,0.000705684,0.000242982,0.000242524,0.000598126,0.000483943
g__Chthoniobacter,0.000223059,0.000195351,3.10E-05,3.53E-05,0.000297114,0.000155397
g__Clostridium,0.000298153,0.000292336,0.000172444,0.000218178,0.000265644,0.00019536
g__Cochleicola,0.000310896,0.000237639,5.22E-05,4.17E-05,0.000162505,2.53E-05
g__Cognaticolwellia,3.93E-06,3.28E-06,2.34E-05,8.07E-06,4.18E-06,9.03E-06
g__Cognatishimia,0.000280748,0.000218906,0.000196083,0.000131001,0.0001729,0.000127243
g__Coleofasciculus,0.000111957,8.66E-05,6.41E-05,7.53E-05,8.91E-05,7.11E-05
g__Colwellia,0.00019492,0.000192783,0.000352275,0.000369937,0.000216186,0.000274487
g__Conexibacter,0.000758767,0.000487924,0.000216615,0.000258456,0.000505422,0.000243781
g__Constantimarinum,0.008300293,0.006297249,0.001476151,0.001147184,0.004474938,0.000676407
g__Coraliihabitans,0.000211726,0.000141287,0.000125014,0.000124679,9.56E-05,6.36E-05
g__Coraliomargarita,0.000198939,0.000145239,4.66E-05,1.91E-05,0.00048987,0.000407826
g__Corallococcus,0.000241276,0.000199975,6.87E-05,6.34E-05,0.000251432,0.000195931
g__Cribrihabitans,0.000252096,0.000219499,0.000237337,0.000214333,0.000202664,0.000165111
g__Crocinitomix,0.000445818,0.000942809,2.95E-05,0.000225738,0.000794293,0.000574689
g__Cryomorpha,0.000331295,0.000562026,0.000252983,9.06E-05,0.000467131,0.000231666
g__Cupriavidus,0.000108835,9.08E-05,6.97E-05,8.15E-05,0.000127015,9.34E-05
g__Cyclobacterium,0.000292123,0.000467413,0.000127136,0.000158209,0.00043692,0.000262715
g__Cycloclasticus,0.000107082,0.00014101,6.08E-05,0.000106184,0.000169205,0.000158978
g__Cystobacter,0.000131885,0.000105718,4.64E-05,4.38E-05,0.000123158,0.000100423
g__Cytophaga,0.000126197,0.000181835,0.000168163,0.000196437,0.000234337,0.000170711
g__Dechloromonas,7.92E-05,6.73E-05,0.000118195,0.000133691,0.000101028,9.71E-05
g__Defluviicoccus,0.000111273,8.32E-05,6.86E-05,7.80E-05,7.65E-05,6.29E-05
g__Defluviimonas,0.000712624,0.000535389,0.000549986,0.000460616,0.000492997,0.000360928
g__Deinococcus,0.000352634,0.000249851,0.000134902,0.000152442,0.000227434,0.00015193
g__Dermatobacter,0.007456083,0.004014565,0.001045118,0.001178578,0.004245514,0.002556938
g__Desertimonas,0.000480371,0.000342092,0.000127514,0.000146249,0.000303529,0.000150444
g__Desulfatitalea,0.000106569,8.11E-05,7.32E-05,7.52E-05,8.24E-05,6.01E-05
g__Desulfobacter,0.000104644,8.44E-05,7.19E-05,7.39E-05,7.90E-05,6.59E-05
g__Desulfobacterium,0.000122178,9.33E-05,9.05E-05,9.44E-05,9.14E-05,7.11E-05
g__Desulfobacula,0.000167636,0.000162035,0.000156571,0.000167477,0.000144192,0.000105109
g__Desulfobulbus,0.000173666,0.000162549,0.000152176,0.000152229,0.000179275,0.000145872
g__Desulfocapsa,0.000129362,0.000151009,0.000224836,0.000194557,0.000198847,0.00016534
g__Desulfonema,0.000196887,0.000165671,0.000116528,0.00012233,0.000153775,0.000114557
g__Desulfopila,5.82E-05,6.18E-05,0.000107133,9.83E-05,6.69E-05,8.52E-05
g__Desulforhabdus,0.00010674,8.17E-05,6.77E-05,7.77E-05,8.19E-05,5.66E-05
g__Desulforhopalus,0.000106825,7.79E-05,0.000103497,0.000119169,6.96E-05,6.57E-05
g__Desulfosarcina,0.000421699,0.000364659,0.000315111,0.00028985,0.000347018,0.000238295
g__Desulfovibrio,0.000111487,0.000102201,5.53E-05,6.77E-05,0.00013603,9.03E-05
g__Desulfuromonas,0.00044787,0.000411175,0.000293556,0.000343967,0.000498682,0.000404283
g__Devosia,0.000384879,0.000322767,0.000313104,0.000265247,0.000308118,0.000236924
g__Dinoroseobacter,0.0009078,0.000727065,0.000406409,0.000216982,0.000616601,0.000409959
g__Dokdonella,0.000490763,0.000385921,0.000320491,0.000365665,0.000408821,0.000350299
g__Dokdonia,0.000319107,0.000344108,9.74E-05,7.23E-05,0.000293743,0.000124957
g__Draconibacterium,0.000282073,0.000408448,0.000106414,0.000115197,0.000362002,0.000157987
g__Dyadobacter,0.000229944,0.000300951,0.000104671,0.000116094,0.000273643,0.000155473
g__Echinicola,0.000218868,0.000282772,0.000106338,8.11E-05,0.000264182,0.000156539
g__Ectothiorhodospira,0.000286521,0.000215823,0.000204796,0.000261275,0.000237261,0.000201951
g__Egibacter,0.000378293,0.000279847,0.000113536,0.000137023,0.000233971,0.000142863
g__Egicoccus,0.000257056,0.000196735,8.15E-05,9.70E-05,0.000155318,9.94E-05
g__Emcibacter,0.000425761,0.000282297,0.000374739,0.000541685,0.000453893,0.000619262
g__Enhygromyxa,0.00022169,0.000163419,7.68E-05,6.39E-05,0.000193487,0.000162292
g__Epibacterium,0.000154935,0.000119155,0.000145888,9.48E-05,0.000112072,8.80E-05
g__Erythrobacter,0.000194749,0.000161205,0.000229117,0.000266016,0.000127178,0.000216237
g__Escherichia,0.000132612,0.000137019,0.000274728,0.000284767,0.000137857,0.000198293
g__Eudoraea,0.000206124,0.000261825,6.29E-05,6.25E-05,0.000228368,0.00010229
g__Euzebya,0.000881458,0.000678731,0.000263174,0.000306892,0.000562108,0.000318451
g__Falsiruegeria,0.000158399,0.000125992,0.000141834,0.000120579,0.000124295,9.94E-05
g__Ferrovum,4.90E-05,7.67E-05,0.000152782,0.000112463,7.71E-05,4.24E-05
g__Ferruginibacter,0.000170373,0.000245148,4.70E-05,7.49E-05,0.000184067,0.000121376
g__Fibrobacter,9.82E-05,0.000137928,6.42E-05,6.95E-05,0.000155318,0.000115281
g__Filomicrobium,0.000411649,0.000225664,0.00027397,0.000215743,0.00020774,0.000226218
g__Flavilitoribacter,0.000193936,0.000307591,5.41E-05,5.48E-05,0.000255249,8.74E-05
g__Flaviramulus,0.000177386,0.000187131,4.35E-05,2.73E-05,0.000157226,5.04E-05
g__Flavivirga,0.000120724,0.000191281,5.36E-05,4.71E-05,0.000143948,9.39E-05
g__Flavobacterium,0.005263943,0.006305864,0.001480849,0.001608141,0.005217986,0.002617703
g__Flexithrix,0.000135905,0.000165197,3.60E-05,4.67E-05,0.000118204,7.72E-05
g__Fluviibacterium,0.000156902,0.000122515,0.000141039,9.15E-05,0.000108215,9.13E-05
g__Fluviicola,0.000688462,0.001422829,4.88E-05,0.000459164,0.00142803,0.001001144
g__Fodinibius,0.000708219,0.000819306,0.00050733,0.000854344,0.000920334,0.00104587
g__Formosa,0.002822914,0.002713856,0.000621623,0.000197035,0.003254526,0.000661855
g__Frankia,0.00058091,0.000458758,0.000138955,0.000157013,0.000386772,0.00018675
g__Frigidibacter,0.000195647,0.000159308,0.000178619,0.000122757,0.000137045,0.000109719
g__Fuerstiella,0.00078913,0.000685963,0.00032856,0.00031693,0.000451701,0.000299745
g__Fulvivirga,0.000662162,0.001071133,0.000290033,0.000277079,0.000851466,0.000499067
g__Gaetbulibacter,0.000339591,0.000396789,0.000118688,8.29E-05,0.000410526,0.000145568
g__Gaiella,0.000306021,0.000222897,0.000116263,0.000134546,0.000203233,0.000124043
g__Galbibacter,0.000401942,0.000509542,0.000283138,0.00019806,0.000433022,0.000325346
g__Gallionella,0.000132398,0.000105916,0.000102474,0.000120792,0.000112072,8.62E-05
g__Geitlerinema,0.000141507,0.000130024,6.93E-05,7.55E-05,0.000112194,7.96E-05
g__Gelidibacter,0.001289001,0.001691096,0.00075535,0.000563554,0.001685391,0.000920836
g__Geminicoccus,0.0001513,9.40E-05,0.000106641,0.000108106,8.44E-05,8.77E-05
g__Gemmatimonas,0.002459802,0.001815745,0.000614615,0.000606652,0.001808386,0.001183475
g__Gemmatirosa,0.000161179,0.000121131,4.71E-05,5.03E-05,0.000113737,7.81E-05
g__Gemmobacter,0.000310725,0.000235228,0.000245066,0.000175251,0.000207943,0.000152844
g__Geobacter,0.000386675,0.000360114,0.000238095,0.000287116,0.000404963,0.000319593
g__Geodermatophilus,0.000255944,0.000187724,6.87E-05,8.26E-05,0.000168596,8.73E-05
g__Geomonas,0.000103233,9.41E-05,6.84E-05,8.14E-05,0.000105413,8.34E-05
g__Geothermobacter,8.89E-05,8.68E-05,6.11E-05,6.72E-05,0.00011524,9.43E-05
g__Geothrix,8.45E-05,8.23E-05,7.44E-05,8.06E-05,0.000102408,7.58E-05
g__Gillisia,0.000409468,0.000544202,0.000256658,0.000223132,0.000515127,0.000305498
g__Gilvibacter,0.000218183,0.000184048,4.38E-05,3.24E-05,0.000128761,2.26E-05
g__Gimesia,0.000446074,0.000413902,0.000176308,0.000184221,0.00038064,0.00021197
g__Gordonia,0.000290754,0.000192822,6.04E-05,6.52E-05,0.000172535,9.00E-05
g__Gracilimonas,0.00044539,0.000606249,0.000427207,0.001512208,0.000597923,0.000728981
g__Gymnodinialimonas,0.000149974,0.000134885,0.000136758,0.000106611,0.000125716,9.30E-05
g__Hahella,0.000104131,8.14E-05,0.000137061,0.000109559,0.000116742,0.000122824
g__Halalkalibaculum,0.000105029,0.000127692,7.82E-05,0.000126046,0.000155643,0.000177683
g__Haliangium,0.000301617,0.000260245,0.000108383,9.06E-05,0.000320503,0.000269801
g__Haliea,0.000341772,0.000270441,0.000146342,0.000189304,0.0002667,0.000210103
g__Halioglobus,0.000878806,0.000773265,0.000588286,0.000645563,0.000782761,0.000634539
g__Haliscomenobacter,0.000156517,0.00023096,4.95E-05,5.54E-05,0.000193487,7.57E-05
