Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Rheinheimera,9.03E-05,0.000103386,0.000999393,0.001119591,0.000123605,0.000864339
g__Rhizobium,0.000392705,0.000320237,0.000331136,0.000270544,0.000317132,0.000249038
g__Rhodanobacter,0.000260606,0.000356517,0.000282191,0.000174269,0.000155643,0.000147701
g__Rhodobacter,0.007162335,0.004909159,0.00194181,0.001322648,0.004052839,0.001953981
g__Rhodocaloribacter,0.000680294,0.001064612,0.000155169,0.000143216,0.000229018,0.000151054
g__Rhodococcus,0.00042837,0.000318103,0.000129712,0.000138347,0.000277379,0.000163435
g__Rhodocytophaga,0.000147024,0.000194363,8.69E-05,0.000115368,0.000179032,0.000102061
g__Rhodoferax,0.000195689,0.000162075,0.000117589,0.000125832,0.000188736,0.000145034
g__Rhodohalobacter,0.005881373,0.007063716,0.005819331,0.010704072,0.008942729,0.014174918
g__Rhodophyticola,0.000187265,0.000139904,0.000174073,9.37E-05,0.000131076,9.66E-05
g__Rhodopirellula,0.001067183,0.000924787,0.000488919,0.000490387,0.000730501,0.000442608
g__Rhodosalinus,0.000142405,0.000119946,0.000121756,0.000102725,0.000103058,8.90E-05
g__Rhodospira,0.000190772,0.000151602,7.97E-05,9.61E-05,0.00013672,9.71E-05
g__Rhodothermus,0.000293192,0.000378293,8.80E-05,9.11E-05,0.000165307,0.000133986
g__Rhodovulum,0.001011931,0.000740541,0.000683524,0.00050256,0.000648396,0.000447598
g__Robiginitomaculum,0.000132527,0.000110342,9.74E-05,0.000103963,0.000132984,0.000110176
g__Roseibacillus,0.000222631,0.000214993,5.95E-05,6.55E-05,0.000270923,0.000127891
g__Roseibacterium,0.000373161,0.000304824,0.000193166,0.000189005,0.000274456,0.000152463
g__Roseibium,0.000437222,0.000336322,0.000458461,0.000292626,0.00031429,0.000263667
g__Roseicyclus,0.000168406,0.000129549,0.000102777,7.58E-05,0.000113047,7.64E-05
g__Roseiflexus,0.000367046,0.000249653,0.000159639,0.000161626,0.00019771,0.000150215
g__Roseimaritima,0.000175291,0.000146543,6.17E-05,5.74E-05,0.00027807,5.73E-05
g__Roseivirga,0.00042589,0.000741529,0.00012384,0.000160216,0.000560484,0.000343442
g__Roseivivax,0.000385734,0.00033482,0.000437171,0.000339824,0.00030426,0.000262258
g__Roseobacter,0.001050676,0.000840055,0.001065423,0.000689344,0.000728958,0.000613548
g__Roseomonas,0.00010644,7.70E-05,9.04E-05,9.60E-05,0.000100662,7.84E-05
g__Roseovarius,0.009773352,0.007412566,0.023418627,0.022395965,0.007758416,0.006384441
g__Rosistilla,0.000142277,0.000124886,5.67E-05,5.45E-05,7.44E-05,5.17E-05
g__Rubricoccus,0.000317867,0.000240287,0.000101754,6.15E-05,0.000184757,0.000100652
g__Rubripirellula,0.000351565,0.000313361,0.000216918,0.000199512,0.000243027,0.00018675
g__Rubrivirga,0.000646553,0.000493734,0.000207448,0.000157098,0.000428393,0.000249305
g__Rubrivivax,0.000414343,0.000329801,0.000232072,0.000269561,0.000324848,0.000248276
g__Rubrobacter,0.000808288,0.000609372,0.000314126,0.000338244,0.000506722,0.000333042
g__Ruegeria,0.003000771,0.002483686,0.002956735,0.002332723,0.002272431,0.001877788
g__Saccharicrinis,0.000118457,0.000228747,6.58E-05,0.000110285,0.00021781,0.00015913
g__Sagittula,0.000143987,0.000116073,0.000197522,0.000164786,0.000106266,9.12E-05
g__Salaquimonas,0.001242303,0.000689283,0.000733378,0.000494274,0.000550617,0.000549583
g__Salegentibacter,0.00034066,0.00049401,0.00015801,0.000141038,0.000457142,0.000261839
g__Salibacter,0.000317183,0.000515154,3.71E-05,6.23E-05,0.000301377,0.00016054
g__Salinibacter,0.000226223,0.00020535,0.000103648,0.00011887,0.000160394,0.000132958
g__Salinihabitans,0.000288231,0.000248546,0.000200174,0.000153724,0.000195883,0.000152196
g__Salinimicrobium,0.000172853,0.000225743,0.000106906,6.35E-05,0.000183052,0.000129491
g__Salinivirga,0.000208946,0.000283957,0.000101148,0.000114428,0.000322777,0.000175054
g__Salipiger,0.000871494,0.000698847,0.001074932,0.00078327,0.000674749,0.000573013
g__Salmonella,6.38E-05,6.31E-05,0.000165019,0.000150563,0.000109514,0.000151244
g__Salsipaludibacter,0.000451505,0.000348218,0.000139637,0.000162437,0.000289602,0.000195017
g__Sandaracinus,0.000972546,0.000776545,0.000384627,0.000379504,0.001280224,0.00111993
g__Sedimenticola,0.00069663,0.000489624,0.001183808,0.001529208,0.000558454,0.000689894
g__Sedimentitalea,0.001150488,0.000957748,0.00104258,0.000908888,0.000925572,0.000747001
g__Sediminibacterium,0.000275231,0.000372444,0.000132477,0.000113317,0.000291266,0.000211056
g__Sediminimonas,0.00019261,0.000149349,0.000190969,0.000135614,0.000137695,0.000108347
g__Seohaeicola,0.001035409,0.000876532,0.000915899,0.000875145,0.00085711,0.000701056
g__Seonamhaeicola,0.00029687,0.000375448,0.000166041,0.000128908,0.000420028,0.000216275
g__Shewanella,0.000276856,0.000298145,0.000848012,0.000965825,0.000330654,0.000795079
g__Shimia,0.002403097,0.00203469,0.001929119,0.001293518,0.001660215,0.001307175
g__Silicimonas,0.000334545,0.000265738,0.000259006,0.000184434,0.000231251,0.000184502
g__Singulisphaera,0.000125855,9.66E-05,5.25E-05,4.95E-05,0.000100906,6.47E-05
g__Sinisalibacter,0.000546613,0.000459943,0.000511043,0.000354688,0.000413084,0.000342375
g__Sinomicrobium,0.000311923,0.000373274,0.000219949,0.000242439,0.000388924,0.000265763
g__Skermanella,8.85E-05,8.40E-05,8.20E-05,9.03E-05,7.71E-05,5.68E-05
g__Sneathiella,0.000204542,0.000191162,0.000141721,0.000159832,0.000195558,0.000138634
g__Solirubrobacter,0.00041631,0.000279847,0.0001199,0.000131556,0.000265319,0.000132005
g__Sorangium,0.000653695,0.000742754,0.001060688,0.000394155,0.000394365,0.000335594
g__Sphaerobacter,0.000779892,0.000510253,0.000344546,0.000392574,0.00036456,0.000333727
g__Sphaerochaeta,0.000164942,0.000147017,3.74E-05,5.03E-05,0.000171398,0.000108119
g__Sphingobacterium,0.000187008,0.000331145,6.35E-05,8.50E-05,0.000224267,0.000177797
g__Sphingobium,0.000128336,9.70E-05,0.000142781,0.000163462,0.000101677,0.00010789
g__Sphingomonas,0.000305551,0.000240089,0.000191688,0.000196949,0.000274699,0.000238828
g__Sphingopyxis,0.000122092,0.000104691,0.000595484,0.000451988,0.000102124,0.000376662
g__Spiribacter,0.000431534,0.000312768,0.000198431,0.000235647,0.000271816,0.000213151
g__Spirochaeta,0.001569578,0.001549533,0.000728605,0.000861819,0.00086113,0.000725133
g__Spirosoma,0.000141079,0.000158637,7.09E-05,6.79E-05,0.000131198,7.62E-05
g__Spirulina,0.000167807,0.000125083,0.000257756,0.000154792,0.00012263,0.000124805
g__Sporocytophaga,0.000139027,0.000205627,3.78E-05,4.63E-05,0.000164251,0.000112309
g__Stappia,0.000223614,0.000167055,0.000213736,0.000207329,0.000148049,0.000120309
g__Stenotrophomonas,0.000148178,0.000111409,0.000122893,0.000172218,0.000122874,0.000104652
g__Steroidobacter,0.000440814,0.000380151,0.000314505,0.000358746,0.000431276,0.00034169
g__Sterolibacterium,0.000150958,0.000123305,5.22E-05,6.11E-05,0.000119788,6.31E-05
g__Stieleria,0.000387188,0.000325098,0.000210137,0.00020861,0.000261421,0.000184693
g__Streptomyces,0.001561709,0.001152072,0.000417358,0.000476505,0.001033624,0.000586423
g__Stutzerimonas,0.000141208,0.000120815,0.000128424,0.000155859,0.000140984,0.000139015
g__Stygiobacter,0.001745211,0.001846532,0.001308216,0.001656535,0.001599306,0.000894626
g__Sulfidibacter,0.000535879,0.000593563,0.000362692,0.00035849,0.000451254,0.000358909
g__Sulfitobacter,0.003800805,0.003056462,0.004412316,0.002705266,0.002727258,0.002303938
g__Sulfuricaulis,0.000225453,0.000171678,0.000259537,0.0003215,0.000180696,0.00018134
g__Sulfuricella,0.000107509,8.82E-05,0.000146645,0.000172176,9.21E-05,8.76E-05
g__Sulfuriflexus,8.99E-05,7.10E-05,0.000193961,0.000239192,9.59E-05,0.000129338
g__Sulfurifustis,0.000110503,7.86E-05,0.000125052,0.000160686,8.84E-05,8.53E-05
g__Sulfurimonas,0.000110845,0.000134766,0.000251922,0.00024214,0.000157023,0.000153111
g__Sulfuritalea,9.99E-05,6.74E-05,0.000127893,0.000139031,0.000102571,0.000109452
g__Sulfurivermis,0.000119826,8.27E-05,0.000334735,0.000445667,0.000107484,0.000169188
g__Sunxiuqinia,0.000196416,0.000264157,0.00010039,0.000133905,0.000257888,0.000174712
g__Symbiodinium,0.000298238,0.000363473,9.83E-05,8.99E-05,0.000326878,0.00011349
g__Symmachiella,0.00019539,0.000178713,9.86E-05,9.82E-05,0.000156333,8.82E-05
g__Symploca,0.000112769,9.62E-05,7.81E-05,7.70E-05,9.75E-05,5.84E-05
g__Synechococcus,0.000152455,0.00011793,6.49E-05,6.34E-05,0.0001126,6.88E-05
g__Tabrizicola,0.000210828,0.000144449,0.000131871,0.000101016,0.000132172,8.79E-05
g__Tahibacter,0.000189745,0.000157056,0.000271281,0.000273619,0.000219475,0.000228466
g__Taibaiella,0.000182219,0.000298382,3.24E-05,5.61E-05,0.000223658,0.000143815
g__Tamlana,0.000208904,0.000257123,6.21E-05,4.22E-05,0.000202015,0.000109376
g__Tateyamaria,0.000551317,0.00042726,0.000471871,0.000332008,0.000378569,0.000290335
g__Tautonia,0.000149718,0.000119313,6.98E-05,7.75E-05,0.000127503,7.71E-05
g__Tenacibaculum,0.001053841,0.001424726,0.000393567,0.00032039,0.001365984,0.000661435
g__Tepidiforma,0.000450351,0.000337073,0.000228965,0.000227446,0.000279491,0.000198865
g__Tepidisphaera,0.000308673,0.00023586,0.000128234,9.57E-05,0.000113494,8.91E-05
g__Teredinibacter,7.89E-05,7.96E-05,0.000140054,0.000158892,0.000110611,0.000136882
g__Terrimicrobium,0.000985118,0.000855073,4.97E-05,2.98E-05,0.001320505,0.000824185
g__Thalassobacter,0.000158698,0.000119195,0.000201765,8.73E-05,0.00011057,9.79E-05
g__Thalassococcus,0.000576292,0.000459706,0.000624275,0.000419569,0.000425753,0.000353842
g__Thalassospira,0.000130517,0.000140694,0.000443118,0.000217494,0.000147318,0.000178255
g__Thalassotalea,0.000182048,0.000141564,0.000128499,0.000157611,0.000120925,0.000148349
g__Thalassovita,0.001317953,0.001087653,0.00137561,0.000853276,0.000947783,0.000756906
g__Thauera,0.000247434,0.000174682,0.000273099,0.000334442,0.000207578,0.000196084
g__Thermaerobacter,0.000142448,0.000111528,6.03E-05,7.28E-05,0.000107078,7.55E-05
g__Thermalbibacter,0.00025928,0.000175868,0.000117172,0.000132111,0.000129655,0.000114824
g__Thermanaerothrix,0.000149418,9.36E-05,7.19E-05,7.91E-05,8.21E-05,6.29E-05
g__Thermoanaerobaculum,0.000729687,0.000635021,0.00085665,0.001060348,0.000970563,0.000718923
g__Thermoflexus,0.000380602,0.000265817,0.000159223,0.000170595,0.000219759,0.000166787
g__Thermoleophilum,0.000172682,0.000105323,5.37E-05,5.61E-05,0.000114387,5.06E-05
g__Thermomicrobium,0.000150402,9.85E-05,6.93E-05,7.96E-05,8.30E-05,7.16E-05
g__Thermomonas,0.000869869,0.000624745,0.000293329,0.00038463,0.000508102,0.000390911
g__Thioalbus,0.000198854,0.00013852,0.000450657,0.000608958,0.000181062,0.000252696
g__Thioalkalivibrio,0.001871879,0.001274902,0.001109557,0.001500804,0.001406062,0.001156541
g__Thiobacillus,0.000214548,0.000179346,0.000206425,0.000244916,0.000230804,0.000218142
g__Thiocapsa,0.000222374,0.000226573,0.000255142,0.000248333,0.000226053,0.00017654
g__Thioclava,0.000282244,0.000236176,0.000263249,0.000220997,0.000209364,0.000165683
g__Thiocystis,0.000101266,8.64E-05,8.58E-05,9.35E-05,0.000112925,0.00010549
g__Thiogranum,0.000289172,0.000229656,0.000403114,0.000538097,0.000242296,0.000268849
g__Thiohalobacter,0.00070219,0.00051464,0.000896844,0.0011972,0.000553906,0.000627263
g__Thiohalocapsa,0.000232552,0.000186143,0.000155927,0.000180419,0.000193975,0.000158635
g__Thiohalomonas,0.000137273,0.000112832,0.000321362,0.000398554,0.000132619,0.000235019
g__Thiohalophilus,6.65E-05,5.50E-05,9.34E-05,0.000119852,5.79E-05,6.76E-05
g__Thiohalorhabdus,0.000127609,9.99E-05,6.49E-05,8.18E-05,8.86E-05,7.55E-05
g__Thiolapillus,0.000185854,0.000152274,0.000283479,0.000363402,0.000122874,0.000260734
g__Thiomargarita,0.000144501,0.000106034,8.85E-05,9.64E-05,9.90E-05,8.35E-05
g__Thioploca,0.000117174,9.92E-05,9.24E-05,0.000101272,0.000104642,8.56E-05
g__Thiosulfatihalobacter,0.000188719,0.00016413,0.000190628,0.000138304,0.000142811,0.000119738
g__Thiothrix,0.000201719,0.00015749,0.000196272,0.000207243,0.000178788,0.000171207
g__Tichowtungia,0.000261889,0.000188159,5.34E-06,5.85E-06,0.00040074,0.00016694
g__Tritonibacter,0.000245296,0.000188475,0.000286169,0.000194173,0.000179275,0.000148501
g__Tropicibacter,0.000464591,0.000405642,0.000523961,0.0003511,0.000356967,0.000308964
g__Tropicimonas,0.000301189,0.000226929,0.000217638,0.000157782,0.000199619,0.000148577
g__Truepera,0.000321203,0.000244476,0.000145622,0.000179779,0.000255371,0.000196693
g__Tunicatimonas,0.000123589,0.00016334,5.82E-05,7.73E-05,0.000157226,8.79E-05
g__Turneriella,0.000241191,0.000464093,1.78E-05,2.29E-05,3.19E-05,3.50E-05
g__Ulvibacter,0.005000044,0.004051833,0.000972004,0.000731715,0.003064369,0.000581661
g__unclassified_c__Actinomycetes,0.000637829,0.000516853,0.000187597,0.000216982,0.000427743,0.000216999
g__unclassified_c__Candidatus_Binatia,0.002079499,0.001868189,0.000879834,0.001005889,0.001465915,0.001041793
g__unclassified_c__Candidatus_Krumholzibacteria,0.000500898,0.000422241,0.000276205,0.000296684,0.000374387,0.000254639
g__unclassified_c__Candidatus_Sumerlaeia,0.000159425,0.000140022,7.97E-05,9.30E-05,0.000200796,0.000139701
g__unclassified_c__Caudoviricetes,0.000721562,0.000628895,0.000312535,0.000363658,0.000955011,0.000605586
g__unclassified_c__Deltaproteobacteria,0.000419218,0.000354304,0.000325416,0.000330342,0.000325782,0.000224314
g__unclassified_c__Gammaproteobacteria,0.000647323,0.000491165,0.00075357,0.000896416,0.000687987,0.000827918
g__unclassified_c__Halobacteria,9.69E-05,8.33E-05,0.000153275,0.000180889,9.41E-05,9.86E-05
g__unclassified_c__Thermoplasmata,0.000686795,0.000548944,0.000226768,0.000253544,0.000510214,0.000255515
g__unclassified_d__Archaea,0.000336341,0.000385763,0.000209683,0.000207798,0.000327487,0.00018035
g__unclassified_d__Viruses,0.000145441,0.000130695,5.45E-05,5.14E-05,0.000185488,8.90E-05
g__unclassified_o__Candidatus_Obscuribacterales,0.000124359,0.000112476,6.56E-05,7.49E-05,0.000114712,9.15E-05
g__unclassified_o__Methanophagales,0.000144543,0.000129628,0.000113876,0.000107679,0.000111504,7.38E-05
g__unclassified_o__Methanosarcinales,0.000327788,0.000249297,0.00016964,0.000174781,0.000191376,0.000140729
g__unclassified_p__Candidatus_Abyssubacteria,0.000153182,0.000110698,6.76E-05,7.53E-05,0.000108499,6.77E-05
g__unclassified_p__Candidatus_Aenigmarchaeota,0.000118158,0.000122831,7.91E-05,7.61E-05,0.000112316,7.95E-05
g__unclassified_p__Candidatus_Aminicenantes,0.001874829,0.001761285,0.001516345,0.001765795,0.001833034,0.001266869
g__unclassified_p__Candidatus_Auribacterota,0.000110033,0.000106785,6.78E-05,7.05E-05,0.000151014,9.94E-05
g__unclassified_p__Candidatus_Bathyarchaeota,0.000442867,0.000351854,0.000223434,0.000249572,0.000335689,0.000250867
g__unclassified_p__Candidatus_Binatota,0.000253378,0.00021199,8.83E-05,9.99E-05,0.00016214,8.95E-05
g__unclassified_p__Candidatus_Bipolaricaulota,0.000695861,0.000516458,0.000300034,0.000326882,0.000476024,0.000363938
g__unclassified_p__Candidatus_Cloacimonadota,0.001225881,0.001106978,0.000573966,0.000650048,0.001020671,0.000635034
g__unclassified_p__Candidatus_Coatesbacteria,0.000137402,0.000112555,7.23E-05,8.54E-05,0.000106388,7.41E-05
g__unclassified_p__Candidatus_Dadabacteria,0.001537462,0.001895261,0.000868621,0.000916961,0.004175672,0.003489242
g__unclassified_p__Candidatus_Delongbacteria,0.000157715,0.000190293,8.68E-05,9.77E-05,0.000143542,0.000114976
g__unclassified_p__Candidatus_Dormibacteraeota,0.000497392,0.000352526,0.00015407,0.000171535,0.000307752,0.000182941
g__unclassified_p__Candidatus_Eisenbacteria,0.001739651,0.001413028,0.001141038,0.001292109,0.001481589,0.001103472
g__unclassified_p__Candidatus_Eremiobacterota,0.000315686,0.00028127,0.000145016,0.000189944,0.000260122,0.000226295
g__unclassified_p__Candidatus_Falkowbacteria,0.000147922,0.000158439,4.31E-05,3.51E-05,0.000105169,4.22E-05
g__unclassified_p__Candidatus_Fraserbacteria,0.000137273,8.78E-05,5.22E-05,5.09E-05,6.94E-05,5.65E-05
g__unclassified_p__Candidatus_Gracilibacteria,0.000116062,0.000101648,8.80E-05,8.55E-05,9.67E-05,7.92E-05
g__unclassified_p__Candidatus_Handelsmanbacteria,0.000140609,0.000128245,6.38E-05,7.19E-05,0.000176798,0.000108919
g__unclassified_p__Candidatus_Heimdallarchaeota,0.000137701,0.000132553,6.34E-05,7.22E-05,9.57E-05,6.19E-05
g__unclassified_p__Candidatus_Hydrogenedentes,0.003067141,0.00289083,0.000869568,0.00107833,0.002098231,0.001101415
g__unclassified_p__Candidatus_Jorgensenbacteria,7.65E-05,0.000796503,8.86E-06,6.83E-06,0.001593702,0.000151435
g__unclassified_p__Candidatus_Kaiserbacteria,0.000512359,0.000333279,0.000134561,0.00011131,0.00069558,0.000358757
g__unclassified_p__Candidatus_Kapabacteria,0.003549351,0.008353162,0.000331098,0.000274089,0.006951942,0.005687842
g__unclassified_p__Candidatus_Krumholzibacteriota,0.000155705,0.000128561,9.97E-05,0.000125192,0.000130548,8.56E-05
g__unclassified_p__Candidatus_Latescibacteria,0.002135991,0.001826771,0.001376254,0.001489528,0.001958912,0.001225229
g__unclassified_p__Candidatus_Lokiarchaeota,0.000160665,0.000159269,0.000108687,0.000113702,0.0001729,0.000108804
g__unclassified_p__Candidatus_Marinimicrobia,0.00277258,0.002702434,0.001568359,0.001879283,0.002790319,0.00178167
g__unclassified_p__Candidatus_Microgenomates,9.36E-05,0.000106667,0.000102549,9.86E-05,8.69E-05,7.86E-05
g__unclassified_p__Candidatus_Moranbacteria,0.000144672,0.000164999,0.000113839,0.000144028,0.000181346,0.000140653
g__unclassified_p__Candidatus_Nealsonbacteria,0.000200051,0.000187052,9.30E-05,9.95E-05,0.000184798,9.27E-05
g__unclassified_p__Candidatus_Nomurabacteria,0.000201249,0.000253131,0.00015085,0.000162096,0.00037597,0.000244657
g__unclassified_p__Candidatus_Omnitrophota,0.003266593,0.002143254,0.00099909,0.001054155,0.0018857,0.00112233
g__unclassified_p__Candidatus_Pacebacteria,0.000541567,0.00176093,0.00028901,0.000280667,0.001388277,0.000575375
g__unclassified_p__Candidatus_Parcubacteria,0.000338052,0.000308658,0.000219078,0.000195155,0.000353678,0.000203589
g__unclassified_p__Candidatus_Peregrinibacteria,0.000115079,0.000106825,0.000114142,0.000135784,9.35E-05,8.45E-05
g__unclassified_p__Candidatus_Poribacteria,0.00142388,0.001164481,0.000754403,0.000809495,0.001169127,0.000743991
g__unclassified_p__Candidatus_Riflebacteria,0.00012624,0.000177409,8.06E-05,9.04E-05,0.000134121,0.000127815
g__unclassified_p__Candidatus_Rokubacteria,0.002830227,0.002250553,0.001283402,0.001481882,0.002127955,0.001386226
g__unclassified_p__Candidatus_Saccharibacteria,0.000529294,0.000441803,0.000172179,0.000157226,0.000305438,0.000220351
g__unclassified_p__Candidatus_Schekmanbacteria,0.00040532,0.0003926,0.000296321,0.000302792,0.000549398,0.000434493
g__unclassified_p__Candidatus_Sumerlaeota,0.000503293,0.000412163,0.000239989,0.000272081,0.000543957,0.000335175
g__unclassified_p__Candidatus_Tectomicrobia,0.000704798,0.000556058,0.000356783,0.000403253,0.000548871,0.000407673
g__unclassified_p__Candidatus_Uhrbacteria,0.000250428,0.000228035,0.000107247,0.000123141,0.000213709,0.000149225
g__unclassified_p__Candidatus_Woesearchaeota,0.000505816,0.000451604,0.000298822,0.000293651,0.000414343,0.000291669
g__unclassified_p__Candidatus_Woesebacteria,0.000334032,0.000618422,8.97E-05,8.56E-05,0.000405653,0.000112004
g__unclassified_p__Candidatus_Wolfebacteria,4.12E-05,0.000233687,9.17E-06,8.41E-06,0.000373412,6.81E-05
g__unclassified_p__Cyanobacteriota,0.000756543,0.000594156,0.000353525,0.00036007,0.000499534,0.00032127
g__unclassified_p__Euryarchaeota,0.000511632,0.000516379,0.000270561,0.000290234,0.000527146,0.000334604
g__unclassified_p__Nanoarchaeota,0.000153224,0.000121764,7.73E-05,0.000101785,0.000118448,9.26E-05
g__unclassified_p__Nitrososphaerota,0.000152669,0.000134015,6.02E-05,7.78E-05,0.000135177,9.52E-05
g__Urechidicola,0.000118885,0.00017654,3.31E-05,4.92E-05,0.000178991,9.75E-05
g__Vannielia,0.000198341,0.000168003,0.00020222,0.000122971,0.000136842,0.000110747
g__Variovorax,0.000141977,0.000105521,0.000193507,0.000250298,0.000111342,0.000138596
g__Verrucomicrobium,0.000165156,0.00015255,1.94E-05,1.78E-05,0.000228246,0.000117757
g__Vibrio,0.000599726,0.000604273,0.001465582,0.00169267,0.00070362,0.001320395
g__Vicingus,0.005354175,0.025485559,0.000185059,0.013224518,0.028109387,0.031371287
g__Wenzhouxiangella,0.073178688,0.051853618,0.024133594,0.031875286,0.042100695,0.031689242
g__Winogradskyella,0.00427536,0.004563865,0.001140242,0.000606993,0.004962006,0.00138775
g__Woeseia,0.002342414,0.002010029,0.001721937,0.001879112,0.002021242,0.001536327
g__Xanthomarina,0.027789136,0.026241158,0.005667723,0.001575594,0.032105459,0.005769636
g__Yeosuana,0.000259964,0.000250957,7.30E-05,3.67E-05,0.000304991,8.20E-05
g__Yoonia,0.000411179,0.00032162,0.000367807,0.000233896,0.000278313,0.000195627
Unclassified,0.047457804,0.04325021,0.029228715,0.028594379,0.043886098,0.03421037